TYPE,YEAR,MONTH,DAY,HOUR,MINUTE,HUNDRED_BLOCK,NEIGHBOURHOOD,X,Y
Other Theft,2024,3,3,17,1,3XX E 50TH AVE,Sunset,492801.1513,5452440.2712
Other Theft,2024,1,24,16,30,3XX E BROADWAY AVE,Mount Pleasant,492846.072,5456683.253
Other Theft,2024,3,4,14,45,3XX E BROADWAY AVE,Mount Pleasant,492886.9435,5456671.9105
Other Theft,2024,1,6,9,20,3XX E BROADWAY AVE,Mount Pleasant,492936.7648,5456669.2373
Other Theft,2024,1,14,8,46,3XX E BROADWAY AVE,Mount Pleasant,492936.7648,5456669.2373
Other Theft,2024,1,26,11,54,3XX E BROADWAY AVE,Mount Pleasant,492936.7648,5456669.2373
Other Theft,2024,1,29,18,2,3XX E BROADWAY AVE,Mount Pleasant,492936.7648,5456669.2373
Other Theft,2024,1,29,21,3,3XX E BROADWAY AVE,Mount Pleasant,492936.7648,5456669.2373
Other Theft,2024,1,30,9,30,3XX E BROADWAY AVE,Mount Pleasant,492936.7648,5456669.2373
Other Theft,2024,2,9,15,5,3XX E BROADWAY AVE,Mount Pleasant,492936.7648,5456669.2373
Other Theft,2024,2,15,19,10,3XX E BROADWAY AVE,Mount Pleasant,492936.7648,5456669.2373
Other Theft,2024,2,20,15,49,3XX E BROADWAY AVE,Mount Pleasant,492936.7648,5456669.2373
Other Theft,2024,2,24,13,15,3XX E BROADWAY AVE,Mount Pleasant,492936.7648,5456669.2373
Other Theft,2024,2,29,11,30,3XX E BROADWAY AVE,Mount Pleasant,492936.7648,5456669.2373
Other Theft,2024,3,2,12,26,3XX E BROADWAY AVE,Mount Pleasant,492936.7648,5456669.2373
Other Theft,2024,1,18,16,26,3XX E HASTINGS ST,Strathcona,492970.2982,5458727.0174
Other Theft,2024,2,21,22,49,3XX E HASTINGS ST,Strathcona,492978.914,5458726.7604
Other Theft,2024,3,1,17,18,3XX E HASTINGS ST,Strathcona,492978.914,5458726.7604
Other Theft,2024,1,2,7,17,3XX E HASTINGS ST,Strathcona,492996.1508,5458726.2497
Other Theft,2024,2,13,10,19,3XX E HASTINGS ST,Strathcona,492996.1508,5458726.2497
Other Theft,2024,1,8,14,51,3XX GARDEN DR,Grandview-Woodland,495789.9662,5458785.6433
Other Theft,2024,1,31,16,39,3XX KINGSWAY AVE,Mount Pleasant,492963.3812,5456374.2077
Other Theft,2024,1,24,20,36,3XX MAIN ST,Strathcona,492755.2693,5458759.7351
Other Theft,2024,1,8,0,1,3XX POWELL ST,Strathcona,492945.4469,5458941.355
Other Theft,2024,2,16,15,3,3XX POWELL ST,Strathcona,492961.7976,5458931.7024
Other Theft,2024,1,25,13,50,3XX RAILWAY ST,Strathcona,493062.2736,5459129.9909
Other Theft,2024,2,10,9,57,3XX ROBSON ST,Central Business District,491555.5452,5458465.0691
Other Theft,2024,1,24,19,25,3XX ROBSON ST,Central Business District,491562.0354,5458458.2945
Other Theft,2024,1,2,17,45,3XX SE MARINE DR,Sunset,492774.2685,5450882.5763
Other Theft,2024,1,2,18,12,3XX SE MARINE DR,Sunset,492774.2685,5450882.5763
Other Theft,2024,1,3,9,10,3XX SE MARINE DR,Sunset,492774.2685,5450882.5763
Other Theft,2024,1,4,9,20,3XX SE MARINE DR,Sunset,492774.2685,5450882.5763
Other Theft,2024,1,7,17,45,3XX SE MARINE DR,Sunset,492774.2685,5450882.5763
Other Theft,2024,1,2,21,10,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,1,7,14,25,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,1,8,16,20,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,1,8,16,28,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,1,8,16,50,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,1,8,20,40,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,1,9,17,0,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,1,9,19,10,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,1,9,20,0,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,1,10,21,35,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,1,11,10,30,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,1,11,14,35,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,1,11,20,30,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,1,12,21,10,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,1,13,14,23,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,1,13,18,20,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,1,14,8,30,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,1,14,21,15,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,1,16,22,15,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,1,18,16,40,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,1,18,19,10,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,1,19,14,50,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,1,19,19,20,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,1,20,14,55,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,1,20,15,10,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,1,21,18,45,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,1,21,19,35,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,1,21,22,10,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,1,22,16,10,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,1,23,17,59,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,1,23,19,40,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,1,25,12,20,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,1,26,8,52,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,1,26,12,20,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,1,26,12,50,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,1,26,16,10,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,1,26,19,15,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,1,28,14,44,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,1,29,16,15,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,1,29,16,30,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,1,29,17,30,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,1,29,17,50,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,1,29,22,20,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,1,30,10,30,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,1,31,11,38,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,1,31,12,35,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,1,31,18,24,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,2,1,20,5,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,2,1,21,6,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,2,2,10,55,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,2,2,18,16,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,2,3,10,18,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,2,3,22,0,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,2,4,20,10,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,2,4,22,25,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,2,5,9,30,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,2,5,19,5,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,2,5,20,2,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,2,5,22,15,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,2,6,15,0,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,2,6,19,15,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,2,6,20,0,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,2,6,21,5,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,2,6,22,0,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,2,7,8,15,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,2,7,13,1,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,2,7,18,6,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,2,7,20,55,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,2,7,21,28,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,2,7,22,52,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,2,8,12,30,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,2,9,7,16,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,2,9,21,10,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,2,10,14,34,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,2,10,18,32,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,2,10,21,48,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,2,11,13,58,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,2,13,7,40,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,2,13,16,15,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,2,13,18,12,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,2,13,20,40,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,2,14,16,40,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,2,14,17,58,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,2,14,20,19,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,2,15,8,10,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,2,16,15,45,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,2,18,13,25,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,2,18,17,28,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,2,18,18,45,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,2,20,8,40,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,2,21,19,10,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,2,22,19,12,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,2,23,18,20,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,2,24,10,32,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,2,24,10,35,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,2,25,20,50,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,2,26,16,40,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,2,26,19,50,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,2,27,22,10,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,2,28,11,33,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,2,28,18,40,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,2,29,8,55,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,3,1,15,0,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,3,1,17,34,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,3,3,18,20,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,3,3,20,35,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,3,4,14,15,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,3,7,10,35,3XX SE MARINE DR,Sunset,492774.6613,5450882.6093
Other Theft,2024,2,4,16,0,3XX TERMINAL AVE,Strathcona,492883.0932,5457735.4695
Other Theft,2024,1,12,19,49,3XX W BROADWAY AVE,Mount Pleasant,491909.5999,5456710.9745
Other Theft,2024,1,27,15,45,3XX W BROADWAY AVE,Mount Pleasant,491909.5999,5456710.9745
Other Theft,2024,2,23,12,34,3XX W BROADWAY AVE,Mount Pleasant,491909.5999,5456710.9745
Other Theft,2024,3,5,22,23,3XX W BROADWAY AVE,Mount Pleasant,491909.5999,5456710.9745
Other Theft,2024,1,4,11,59,3XX W GEORGIA ST,Central Business District,491651.5374,5458615.1804
Other Theft,2024,1,6,16,37,3XX W GEORGIA ST,Central Business District,491651.5374,5458615.1804
Other Theft,2024,1,6,17,59,3XX W GEORGIA ST,Central Business District,491651.5374,5458615.1804
Other Theft,2024,1,19,13,30,3XX W GEORGIA ST,Central Business District,491651.5374,5458615.1804
Other Theft,2024,1,23,15,42,3XX W GEORGIA ST,Central Business District,491651.5374,5458615.1804
Other Theft,2024,1,24,11,50,3XX W GEORGIA ST,Central Business District,491651.5374,5458615.1804
Other Theft,2024,1,28,15,13,3XX W GEORGIA ST,Central Business District,491651.5374,5458615.1804
Other Theft,2024,1,29,16,25,3XX W GEORGIA ST,Central Business District,491651.5374,5458615.1804
Other Theft,2024,2,5,19,31,3XX W GEORGIA ST,Central Business District,491651.5374,5458615.1804
Other Theft,2024,2,11,14,0,3XX W GEORGIA ST,Central Business District,491651.5374,5458615.1804
Other Theft,2024,2,11,15,55,3XX W GEORGIA ST,Central Business District,491651.5374,5458615.1804
Other Theft,2024,2,21,14,55,3XX W GEORGIA ST,Central Business District,491651.5374,5458615.1804
Other Theft,2024,2,26,12,20,3XX W GEORGIA ST,Central Business District,491651.5374,5458615.1804
Other Theft,2024,2,29,23,0,3XX W GEORGIA ST,Central Business District,491651.5374,5458615.1804
Other Theft,2024,3,4,17,30,3XX W GEORGIA ST,Central Business District,491651.5374,5458615.1804
Other Theft,2024,1,19,1,0,3XX W GEORGIA ST,Central Business District,491684.6126,5458581.0716
Other Theft,2024,2,2,10,53,3XX W KENT AVE N,Marpole,491644.026,5450427.3175
Other Theft,2024,2,18,10,31,3XX W PENDER ST,Central Business District,491907.2445,5458854.4873
Other Theft,2024,2,21,13,49,3XX W PENDER ST,Central Business District,491907.2445,5458854.4873
Other Theft,2024,1,25,18,9,3XX WATER ST,Central Business District,492071.2035,5459067.2418
Other Theft,2024,3,3,15,10,3XX WATER ST,Central Business District,492076.6853,5459075.1685
Other Theft,2024,2,18,13,0,3XX WATER ST,Central Business District,492079.972,5459064.6859
Other Theft,2024,3,1,12,8,40XX ARBUTUS ST,Arbutus Ridge,488847.2461,5455266.8197
Other Theft,2024,3,1,12,15,40XX ARBUTUS ST,Arbutus Ridge,488847.2461,5455266.8197
Other Theft,2024,3,6,19,15,40XX FRASER ST,Kensington-Cedar Cottage,493443.6881,5455123.5211
Other Theft,2024,2,6,15,0,40XX LILLOOET ST,Renfrew-Collingwood,497148.9153,5455090.5893
Other Theft,2024,1,16,8,30,41XX GLADSTONE ST,Kensington-Cedar Cottage,495591.7122,5455036.8243
Other Theft,2024,1,23,17,15,41XX MAIN ST,Riley Park,492637.3595,5455056.3179
Other Theft,2024,2,16,15,0,41XX W 12TH AVE,West Point Grey,485502.5153,5456582.1336
Other Theft,2024,3,6,14,0,41XX YEW ST,Arbutus Ridge,488750.5209,5455182.2404
Other Theft,2024,2,14,16,58,42XX DUNBAR ST,Dunbar-Southlands,486516.4442,5455132.9432
Other Theft,2024,1,25,12,34,42XX MAIN ST,Riley Park,492639.835,5454886.7308
Other Theft,2024,1,3,15,45,42XX YEW ST,Arbutus Ridge,488736.6479,5455040.5131
Other Theft,2024,2,27,10,45,43XX MAIN ST,Riley Park,492635.2123,5454795.2091
Other Theft,2024,1,3,13,0,43XX MILLER ST,Kensington-Cedar Cottage,494971.6056,5454892.8119
Other Theft,2024,1,22,14,12,43XX ST CATHERINES ST,Kensington-Cedar Cottage,493746.1026,5454816.1153
Other Theft,2024,3,1,16,13,43XX W 10TH AVE,West Point Grey,485102.8777,5456803.303
Other Theft,2024,2,27,2,59,43XX W 11TH AVE,West Point Grey,485065.8292,5456700.096
Other Theft,2024,1,29,0,0,45XX CLANCY LORANGER WAY,Riley Park,492098.3488,5454510.5986
Other Theft,2024,2,1,13,0,45XX CLANCY LORANGER WAY,Riley Park,492098.3488,5454510.5986
Other Theft,2024,2,9,18,0,45XX CLANCY LORANGER WAY,Riley Park,492098.3488,5454510.5986
Other Theft,2024,2,9,18,48,45XX CLANCY LORANGER WAY,Riley Park,492098.3488,5454510.5986
Other Theft,2024,2,9,21,53,45XX CLANCY LORANGER WAY,Riley Park,492098.3488,5454510.5986
Other Theft,2024,2,2,15,30,45XX CLANCY LORANGER WAY,Riley Park,492215.5383,5454584.3945
Other Theft,2024,1,10,18,30,45XX DUNBAR ST,Dunbar-Southlands,486521.9449,5454746.7432
Other Theft,2024,2,11,16,25,45XX DUNBAR ST,Dunbar-Southlands,486521.9449,5454746.7432
Other Theft,2024,2,20,20,26,45XX DUNBAR ST,Dunbar-Southlands,486521.9449,5454746.7432
Other Theft,2024,2,14,17,52,45XX FRASER ST,Kensington-Cedar Cottage,493431.9296,5454544.7286
Other Theft,2024,1,2,9,44,45XX FRASER ST,Kensington-Cedar Cottage,493433.7894,5454635.2261
Other Theft,2024,1,27,17,55,45XX MAIN ST,Riley Park,492630.2282,5454617.4898
Other Theft,2024,2,29,18,34,45XX MANOR ST,Renfrew-Collingwood,497301.9233,5454620.2276
Other Theft,2024,1,29,17,0,45XX OAK ST,South Cambie,490713.8533,5454741.6087
Other Theft,2024,1,29,18,0,45XX OAK ST,South Cambie,490713.8533,5454741.6087
Other Theft,2024,2,24,18,42,45XX W 5TH AVE,West Point Grey,484688.1004,5457284.8128
Other Theft,2024,3,1,19,53,47XX KILLARNEY ST,Renfrew-Collingwood,497026.0004,5454332.489
Other Theft,2024,2,3,13,51,48XX BLENHEIM ST,Dunbar-Southlands,486991.9486,5454445.8221
Other Theft,2024,1,22,17,7,48XX ELDORADO MEWS,Renfrew-Collingwood,495756.4616,5454213.2553
Other Theft,2024,2,2,21,0,48XX KNIGHT ST,Kensington-Cedar Cottage,494445.9023,5454170.1015
Other Theft,2024,1,27,21,56,4X E HASTINGS ST,Central Business District,492474.1145,5458741.8692
Other Theft,2024,2,5,16,0,4X W HASTINGS ST,Central Business District,492314.1013,5458775.0032
Other Theft,2024,1,28,21,15,4XX ABBOTT ST,Central Business District,492183.6983,5458754.3419
Other Theft,2024,2,28,19,41,4XX ALEXANDER ST,Strathcona,493073.9211,5459029.0818
Other Theft,2024,1,19,13,30,4XX ALEXANDER ST,Strathcona,493112.9698,5459037.3327
Other Theft,2024,3,2,7,1,4XX DUNLEVY AVE,Strathcona,493055.8199,5458700.0148
Other Theft,2024,3,1,13,18,4XX E 10TH AVE,Mount Pleasant,493210.122,5456536.7453
Other Theft,2024,3,2,16,54,4XX E 55TH AVE,Sunset,493044.2228,5451916.3657
Other Theft,2024,2,4,15,0,4XX E 57TH AVE,Sunset,492915.6778,5451742.1154
Other Theft,2024,1,22,14,53,4XX E BROADWAY AVE,Mount Pleasant,493102.6419,5456648.2219
Other Theft,2024,1,7,6,5,4XX INTERURBAN WAY,Marpole,491498.7429,5450698.5297
Other Theft,2024,2,8,21,0,4XX INTERURBAN WAY,Marpole,491498.7429,5450698.5297
Other Theft,2024,2,7,22,0,4XX KEEFER ST,Strathcona,493097.9304,5458524.1752
Other Theft,2024,3,4,2,35,4XX KOOTENAY ST,Hastings-Sunrise,498133.6831,5458662.5015
Other Theft,2024,2,19,9,5,4XX MCLEAN DR,Grandview-Woodland,494604.7704,5458685.8675
Other Theft,2024,1,21,10,0,4XX PRINCESS AVE,Strathcona,493341.6322,5458685.153
Other Theft,2024,2,22,13,29,4XX RICHARDS ST,Central Business District,491821.6607,5458992.3139
Other Theft,2024,2,21,6,45,4XX ROBSON ST,Central Business District,491424.951,5458597.362
Other Theft,2024,2,27,8,25,4XX ROBSON ST,Central Business District,491424.951,5458597.362
Other Theft,2024,1,3,13,44,4XX ROBSON ST,Central Business District,491438.3304,5458597.0052
Other Theft,2024,1,7,19,12,4XX ROBSON ST,Central Business District,491438.3304,5458597.0052
Other Theft,2024,1,9,19,40,4XX ROBSON ST,Central Business District,491438.3304,5458597.0052
Other Theft,2024,1,10,22,2,4XX ROBSON ST,Central Business District,491438.3304,5458597.0052
Other Theft,2024,1,16,17,36,4XX ROBSON ST,Central Business District,491438.3304,5458597.0052
Other Theft,2024,1,20,16,0,4XX ROBSON ST,Central Business District,491438.3304,5458597.0052
Other Theft,2024,1,22,8,23,4XX ROBSON ST,Central Business District,491438.3304,5458597.0052
Other Theft,2024,1,27,18,26,4XX ROBSON ST,Central Business District,491438.3304,5458597.0052
Other Theft,2024,1,31,20,49,4XX ROBSON ST,Central Business District,491438.3304,5458597.0052
Other Theft,2024,2,16,17,50,4XX ROBSON ST,Central Business District,491438.3304,5458597.0052
Other Theft,2024,2,19,21,16,4XX ROBSON ST,Central Business District,491438.3304,5458597.0052
Other Theft,2024,1,6,18,17,4XX ROBSON ST,Central Business District,491474.6953,5458548.2696
Other Theft,2024,1,7,8,43,4XX ROBSON ST,Central Business District,491474.6953,5458548.2696
Other Theft,2024,1,31,18,36,4XX ROBSON ST,Central Business District,491474.6953,5458548.2696
Other Theft,2024,3,2,21,0,4XX SEYMOUR ST,Central Business District,491794.6891,5459103.1935
Other Theft,2024,2,29,16,58,4XX SW MARINE DR,Marpole,491550.0141,5450858.2906
Other Theft,2024,1,5,16,22,4XX SW MARINE DR,Marpole,491572.4742,5450871.8171
Other Theft,2024,1,6,19,2,4XX SW MARINE DR,Marpole,491572.4742,5450871.8171
Other Theft,2024,1,7,16,0,4XX SW MARINE DR,Marpole,491572.4742,5450871.8171
Other Theft,2024,1,7,17,50,4XX SW MARINE DR,Marpole,491572.4742,5450871.8171
Other Theft,2024,1,29,21,47,4XX SW MARINE DR,Marpole,491572.4742,5450871.8171
Other Theft,2024,2,5,18,0,4XX TERMINAL AVE,Strathcona,493059.0094,5457690.5097
Other Theft,2024,2,1,9,0,4XX TERMINAL AVE,Strathcona,493115.0823,5457675.0531
Other Theft,2024,2,20,13,26,4XX W 2ND AVE,Mount Pleasant,491666.8389,5457131.84
Other Theft,2024,2,13,10,0,4XX W 63RD AVE,Marpole,491512.4481,5451167.4081
Other Theft,2024,1,1,14,44,4XX W 8TH AVE,Mount Pleasant,491666.2208,5456814.193
Other Theft,2024,1,1,16,0,4XX W 8TH AVE,Mount Pleasant,491666.2208,5456814.193
Other Theft,2024,1,20,18,48,4XX W 8TH AVE,Mount Pleasant,491666.2208,5456814.193
Other Theft,2024,1,21,12,15,4XX W 8TH AVE,Mount Pleasant,491666.2208,5456814.193
Other Theft,2024,1,21,13,59,4XX W 8TH AVE,Mount Pleasant,491666.2208,5456814.193
Other Theft,2024,1,28,12,45,4XX W 8TH AVE,Mount Pleasant,491666.2208,5456814.193
Other Theft,2024,2,12,11,21,4XX W 8TH AVE,Mount Pleasant,491666.2208,5456814.193
Other Theft,2024,1,10,15,49,4XX W BROADWAY AVE,Mount Pleasant,491695.4659,5456725.5216
Other Theft,2024,1,24,19,0,4XX W BROADWAY AVE,Mount Pleasant,491713.9052,5456725.1307
Other Theft,2024,2,24,21,8,50XX JOYCE ST,Renfrew-Collingwood,497699.4433,5453960.7404
Other Theft,2024,1,25,17,0,50XX WALES ST,Renfrew-Collingwood,496236.668,5453972.7564
Other Theft,2024,1,22,7,0,50XX WILLOW ST,South Cambie,490993.8313,5454157.2683
Other Theft,2024,3,7,14,14,50XX WILLOW ST,South Cambie,490993.8313,5454157.2683
Other Theft,2024,1,28,1,59,51XX FAIRMONT ST,Renfrew-Collingwood,496749.5587,5453987.7399
Other Theft,2024,2,1,0,0,53XX DUMFRIES ST,Kensington-Cedar Cottage,494595.5685,5453696.7025
Other Theft,2024,2,11,11,0,53XX TAUNTON ST,Renfrew-Collingwood,497200.1681,5453773.6269
Other Theft,2024,1,29,0,0,53XX VICTORIA DR,Kensington-Cedar Cottage,495231.0042,5453776.4929
Other Theft,2024,2,18,15,0,53XX WEST BLVD,Arbutus Ridge,488678.2562,5453886.6749
Other Theft,2024,2,8,19,30,54XX EARLES ST,Renfrew-Collingwood,496449.1399,5453645.8818
Other Theft,2024,2,12,12,36,54XX WEST BLVD,Arbutus Ridge,488677.196,5453842.7217
Other Theft,2024,1,6,12,52,55XX CAMBIE ST,South Cambie,491528.032,5453574.1706
Other Theft,2024,1,14,15,30,55XX CAMBIE ST,South Cambie,491528.032,5453574.1706
Other Theft,2024,1,27,21,20,55XX CAMBIE ST,South Cambie,491528.032,5453574.1706
Other Theft,2024,2,4,13,30,55XX CAMBIE ST,South Cambie,491528.032,5453574.1706
Other Theft,2024,2,6,15,20,55XX CAMBIE ST,South Cambie,491528.032,5453574.1706
Other Theft,2024,2,23,21,20,55XX CAMBIE ST,South Cambie,491528.032,5453574.1706
Other Theft,2024,2,24,14,16,55XX CAMBIE ST,South Cambie,491528.032,5453574.1706
Other Theft,2024,3,3,18,40,55XX CAMBIE ST,South Cambie,491528.032,5453574.1706
Other Theft,2024,3,6,17,36,55XX CAMBIE ST,South Cambie,491528.032,5453574.1706
Other Theft,2024,3,7,20,57,55XX CAMBIE ST,South Cambie,491528.032,5453574.1706
Other Theft,2024,2,1,12,20,56XX MELBOURNE ST,Renfrew-Collingwood,497864.7841,5453268.4414
Other Theft,2024,1,25,18,14,56XX VICTORIA DR,Kensington-Cedar Cottage,495228.0583,5453412.7707
Other Theft,2024,1,8,15,13,56XX VICTORIA DR,Kensington-Cedar Cottage,495228.072,5453413.3296
Other Theft,2024,1,12,15,11,56XX VICTORIA DR,Kensington-Cedar Cottage,495228.072,5453413.3296
Other Theft,2024,1,19,19,40,56XX VICTORIA DR,Kensington-Cedar Cottage,495228.072,5453413.3296
Other Theft,2024,1,29,10,0,56XX VICTORIA DR,Kensington-Cedar Cottage,495228.072,5453413.3296
Other Theft,2024,1,31,15,0,56XX VICTORIA DR,Kensington-Cedar Cottage,495228.072,5453413.3296
